context_key,covariate_value
vip-user-001,vip
vip-user-002,vip
vip-user-003,vip
vip-user-004,vip
vip-user-005,vip
vip-user-006,vip
vip-user-007,vip
vip-user-008,vip
vip-user-009,vip
vip-user-010,vip
vip-user-011,vip
vip-user-012,vip
vip-user-013,vip
vip-user-014,vip
vip-user-015,vip
vip-user-016,vip
vip-user-017,vip
vip-user-018,vip
vip-user-019,vip
vip-user-020,vip
vip-user-021,vip
vip-user-022,vip
vip-user-023,vip
vip-user-024,vip
vip-user-025,vip
vip-user-026,vip
vip-user-027,vip
vip-user-028,vip
vip-user-029,vip
vip-user-030,vip
vip-user-031,vip
vip-user-032,vip
vip-user-033,vip
vip-user-034,vip
vip-user-035,vip
vip-user-036,vip
vip-user-037,vip
vip-user-038,vip
vip-user-039,vip
vip-user-040,vip
vip-user-041,vip
vip-user-042,vip
vip-user-043,vip
vip-user-044,vip
vip-user-045,vip
vip-user-046,vip
vip-user-047,vip
vip-user-048,vip
vip-user-049,vip
vip-user-050,vip
vip-user-051,vip
vip-user-052,vip
vip-user-053,vip
vip-user-054,vip
vip-user-055,vip
vip-user-056,vip
vip-user-057,vip
vip-user-058,vip
vip-user-059,vip
vip-user-060,vip
vip-user-061,vip
vip-user-062,vip
vip-user-063,vip
vip-user-064,vip
vip-user-065,vip
vip-user-066,vip
vip-user-067,vip
vip-user-068,vip
vip-user-069,vip
vip-user-070,vip
vip-user-071,vip
vip-user-072,vip
vip-user-073,vip
vip-user-074,vip
vip-user-075,vip
vip-user-076,vip
vip-user-077,vip
vip-user-078,vip
vip-user-079,vip
vip-user-080,vip
vip-user-081,vip
vip-user-082,vip
vip-user-083,vip
vip-user-084,vip
vip-user-085,vip
vip-user-086,vip
vip-user-087,vip
vip-user-088,vip
vip-user-089,vip
vip-user-090,vip
standard-user-001,standard
standard-user-002,standard
standard-user-003,standard
standard-user-004,standard
standard-user-005,standard
standard-user-006,standard
standard-user-007,standard
standard-user-008,standard
standard-user-009,standard
standard-user-010,standard
standard-user-011,standard
standard-user-012,standard
standard-user-013,standard
standard-user-014,standard
standard-user-015,standard
standard-user-016,standard
standard-user-017,standard
standard-user-018,standard
standard-user-019,standard
standard-user-020,standard
standard-user-021,standard
standard-user-022,standard
standard-user-023,standard
standard-user-024,standard
standard-user-025,standard
standard-user-026,standard
standard-user-027,standard
standard-user-028,standard
standard-user-029,standard
standard-user-030,standard
standard-user-031,standard
standard-user-032,standard
standard-user-033,standard
standard-user-034,standard
standard-user-035,standard
standard-user-036,standard
standard-user-037,standard
standard-user-038,standard
standard-user-039,standard
standard-user-040,standard
standard-user-041,standard
standard-user-042,standard
standard-user-043,standard
standard-user-044,standard
standard-user-045,standard
standard-user-046,standard
standard-user-047,standard
standard-user-048,standard
standard-user-049,standard
standard-user-050,standard
standard-user-051,standard
standard-user-052,standard
standard-user-053,standard
standard-user-054,standard
standard-user-055,standard
standard-user-056,standard
standard-user-057,standard
standard-user-058,standard
standard-user-059,standard
standard-user-060,standard
standard-user-061,standard
standard-user-062,standard
standard-user-063,standard
standard-user-064,standard
standard-user-065,standard
standard-user-066,standard
standard-user-067,standard
standard-user-068,standard
standard-user-069,standard
standard-user-070,standard
standard-user-071,standard
standard-user-072,standard
standard-user-073,standard
standard-user-074,standard
standard-user-075,standard
standard-user-076,standard
standard-user-077,standard
standard-user-078,standard
standard-user-079,standard
standard-user-080,standard
standard-user-081,standard
standard-user-082,standard
standard-user-083,standard
standard-user-084,standard
standard-user-085,standard
standard-user-086,standard
standard-user-087,standard
standard-user-088,standard
standard-user-089,standard
standard-user-090,standard
standard-user-091,standard
standard-user-092,standard
standard-user-093,standard
standard-user-094,standard
standard-user-095,standard
standard-user-096,standard
standard-user-097,standard
standard-user-098,standard
standard-user-099,standard
standard-user-100,standard
standard-user-101,standard
standard-user-102,standard
standard-user-103,standard
standard-user-104,standard
standard-user-105,standard
standard-user-106,standard
standard-user-107,standard
standard-user-108,standard
standard-user-109,standard
standard-user-110,standard
standard-user-111,standard
standard-user-112,standard
standard-user-113,standard
standard-user-114,standard
standard-user-115,standard
standard-user-116,standard
standard-user-117,standard
standard-user-118,standard
standard-user-119,standard
standard-user-120,standard
standard-user-121,standard
standard-user-122,standard
standard-user-123,standard
standard-user-124,standard
standard-user-125,standard
standard-user-126,standard
standard-user-127,standard
standard-user-128,standard
standard-user-129,standard
standard-user-130,standard
standard-user-131,standard
standard-user-132,standard
standard-user-133,standard
standard-user-134,standard
standard-user-135,standard
standard-user-136,standard
standard-user-137,standard
standard-user-138,standard
standard-user-139,standard
standard-user-140,standard
standard-user-141,standard
standard-user-142,standard
standard-user-143,standard
standard-user-144,standard
standard-user-145,standard
standard-user-146,standard
standard-user-147,standard
standard-user-148,standard
standard-user-149,standard
standard-user-150,standard
standard-user-151,standard
standard-user-152,standard
standard-user-153,standard
standard-user-154,standard
standard-user-155,standard
standard-user-156,standard
standard-user-157,standard
standard-user-158,standard
standard-user-159,standard
standard-user-160,standard
standard-user-161,standard
standard-user-162,standard
standard-user-163,standard
standard-user-164,standard
standard-user-165,standard
standard-user-166,standard
standard-user-167,standard
standard-user-168,standard
standard-user-169,standard
standard-user-170,standard
standard-user-171,standard
standard-user-172,standard
standard-user-173,standard
standard-user-174,standard
standard-user-175,standard
standard-user-176,standard
standard-user-177,standard
standard-user-178,standard
standard-user-179,standard
standard-user-180,standard
standard-user-181,standard
standard-user-182,standard
standard-user-183,standard
standard-user-184,standard
standard-user-185,standard
standard-user-186,standard
standard-user-187,standard
standard-user-188,standard
standard-user-189,standard
standard-user-190,standard
standard-user-191,standard
standard-user-192,standard
standard-user-193,standard
standard-user-194,standard
standard-user-195,standard
standard-user-196,standard
standard-user-197,standard
standard-user-198,standard
standard-user-199,standard
standard-user-200,standard
standard-user-201,standard
standard-user-202,standard
standard-user-203,standard
standard-user-204,standard
standard-user-205,standard
standard-user-206,standard
standard-user-207,standard
standard-user-208,standard
standard-user-209,standard
standard-user-210,standard
